113,Sunny,Clear,Солнечно,Ясно,ru,Russian

116,"Partly cloudy","Partly cloudy","Переменная облачность","Переменная облачность",ru,Russian

119,Cloudy,Cloudy,Облачно,Облачно,ru,Russian

122,Overcast,Overcast,Пасмурно,Пасмурно,ru,Russian

143,Mist,Mist,Дымка,Дымка,ru,Russian

176,"Patchy rain possible","Patchy rain possible","Местами дождь","Местами дождь",ru,Russian

179,"Patchy snow possible","Patchy snow possible","Местами снег","Местами снег",ru,Russian

182,"Patchy sleet possible","Patchy sleet possible","Местами дождь со снегом","Местами дождь со снегом",ru,Russian

185,"Patchy freezing drizzle possible","Patchy freezing drizzle possible","Местами замерзающая морось","Местами замерзающая морось",ru,Russian

200,"Thundery outbreaks possible","Thundery outbreaks possible","Местами грозы","Местами грозы",ru,Russian

227,"Blowing snow","Blowing snow",Поземок,Поземок,ru,Russian

230,Blizzard,Blizzard,Метель,Метель,ru,Russian



248,Fog,Fog,Туман,Туман,ru,Russian

260,"Freezing fog","Freezing fog","Переохлажденный туман","Переохлажденный туман",ru,Russian


263,"Patchy light drizzle","Patchy light drizzle","Местами слабая морось","Местами слабая морось",ru,Russian

266,"Light drizzle","Light drizzle","Слабая морось","Слабая морось",ru,Russian

281,"Freezing drizzle","Freezing drizzle","Замерзающая морось","Замерзающая морось",ru,Russian

284,"Heavy freezing drizzle","Heavy freezing drizzle","Сильная замерзающая морось","Сильная замерзающая морось",ru,Russian

293,"Patchy light rain","Patchy light rain","Местами небольшой дождь","Местами небольшой дождь",ru,Russian

296,"Light rain","Light rain","Небольшой дождь","Небольшой дождь",ru,Russian

299,"Moderate rain at times","Moderate rain at times","Временами умеренный дождь","Временами умеренный дождь",ru,Russian

302,"Moderate rain","Moderate rain","Умеренный дождь","Умеренный дождь",ru,Russian

305,"Heavy rain at times","Heavy rain at times","Временами сильный дождь","Временами сильный дождь",ru,Russian

308,"Heavy rain","Heavy rain","Сильный дождь","Сильный дождь",ru,Russian

311,"Light freezing rain","Light freezing rain","Слабый переохлажденный дождь","Слабый переохлажденный дождь",ru,Russian

